8.49807,2.99999,1.58622
8.49229,3.24992,1.60164
8.48266,3.49973,1.61706
8.46917,3.74937,1.63248
8.45184,3.99876,1.6479
8.43066,4.24786,1.66332
8.40564,4.4966,1.67874
8.37679,4.74493,1.69416
8.34412,4.99278,1.70958
8.30763,5.2401,1.725
8.26733,5.48683,1.74042
8.22323,5.73291,1.75584
8.17534,5.97828,1.77126
8.12367,6.22288,1.78668
8.08083,6.41823,1.77306
8.05215,6.55808,1.76334
8.02483,6.6982,1.75362
7.99888,6.83858,1.7439
7.97429,6.9792,1.73417
7.95107,7.12005,1.72445
7.92922,7.26113,1.71473
7.90875,7.40241,1.70501
7.90875,7.40241,1.70501
7.88964,7.54388,1.71597
7.8696,7.68094,1.72661
7.84811,7.81778,1.73725
7.82516,7.95438,1.74789
7.80076,8.09072,1.75852
7.77491,8.2268,1.76916
7.74761,8.3626,1.7798
7.71887,8.4981,1.79044
7.71887,8.4981,1.79044
7.68869,8.63329,1.76434
7.72213,8.4627,1.79709
7.76113,8.29329,1.82984
7.80566,8.12526,1.86258
7.85567,7.95877,1.89533
7.9111,7.79401,1.92807
7.97189,7.63115,1.96082
8.03799,7.47037,1.99356
8.03799,7.47037,1.99356
8.10931,7.31183,1.9978
8.05906,7.42226,1.99485
8.00915,7.53284,1.99189
7.95956,7.64356,1.98893
7.91029,7.75443,1.98597
7.86136,7.86544,1.98301
7.81275,7.9766,1.98005
7.76448,8.0879,1.97709
7.76448,8.0879,1.97709
7.71653,8.19934,2.00672
7.59837,8.453,2.07504
7.46318,8.698,2.14336
7.31157,8.9332,2.21168
7.14426,9.1575,2.28
6.96203,9.36986,2.34832
6.76572,9.56928,2.41665
6.55626,9.75483,2.48497
6.55626,9.75483,2.48497
6.33462,9.92565,2.47518
6.11558,10.0979,2.46543
5.89823,10.2723,2.45568
5.68259,10.4488,2.44593
5.46869,10.6274,2.43618
5.25653,10.8081,2.42643
5.04614,10.9908,2.41668
4.83755,11.1756,2.40693
4.83755,11.1756,2.40693
4.63076,11.3624,2.47775
4.40469,11.5392,2.55069
4.16632,11.6991,2.62363
3.91694,11.8412,2.69657
3.65786,11.9648,2.76951
3.39046,12.0692,2.84245
3.11618,12.1537,2.91539
2.83645,12.2181,2.98833
